project_id,deployment_id,placename,start_date,end_date,failure_1_start,failure_1_end
2006601,BCAM11_2025Sep14_SD66,BCAM11,2025-08-04T00:00:00Z,2025-09-14T00:00:00Z,NA,NA
2006601,BCAM11_2026Apr12_SD39,BCAM11,2026-03-08T00:00:00Z,2026-04-12T00:00:00Z,NA,NA
2006601,BCAM11_2026Feb19_SD50,BCAM11,2026-01-11T00:00:00Z,2026-02-19T00:00:00Z,NA,NA
2006601,BCAM11_2026Jan11_SD34,BCAM11,2025-12-07T00:00:00Z,2026-01-11T00:00:00Z,NA,NA
2006601,BCAM11_2026Mar8_SD39,BCAM11,2026-02-19T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM11_2026May30_SD61,BCAM11,2026-04-12T00:00:00Z,2026-05-30T00:00:00Z,NA,NA
2006601,BCAM12_2024Apr6_SD43,BCAM12,2024-03-09T00:00:00Z,2024-04-06T00:00:00Z,NA,NA
2006601,BCAM12_2024Feb10_SD40,BCAM12,2024-01-13T00:00:00Z,2024-02-10T00:00:00Z,NA,NA
2006601,BCAM12_2024May4_SD27,BCAM12,2024-04-06T00:00:00Z,2024-04-30T00:00:00Z,NA,NA
2006601,BCAM13_2024Apr6_SD36,BCAM13,2024-03-09T00:00:00Z,2024-04-06T00:00:00Z,NA,NA
2006601,BCAM13_2024Aug4_SD41,BCAM13,2024-06-26T00:00:00Z,2024-08-04T00:00:00Z,NA,NA
2006601,BCAM13_2024Dec21_SD44,BCAM13,2024-11-07T00:00:00Z,2024-12-21T00:00:00Z,NA,NA
2006601,BCAM13_2024Feb10_SD25,BCAM13,2024-01-13T00:00:00Z,2024-02-10T00:00:00Z,NA,NA
2006601,BCAM13_2024Jan13_SD27,BCAM13,2023-12-21T00:00:00Z,2024-01-13T00:00:00Z,NA,NA
2006601,BCAM13_2024Jun1_SD27,BCAM13,2024-05-04T00:00:00Z,2024-06-01T00:00:00Z,NA,NA
2006601,BCAM13_2024Jun26_SD51,BCAM13,2024-06-01T00:00:00Z,2024-06-26T00:00:00Z,NA,NA
2006601,BCAM13_2024Mar9_SD39,BCAM13,2024-02-10T00:00:00Z,2024-03-09T00:00:00Z,NA,NA
2006601,BCAM13_2024May4_SD37,BCAM13,2024-04-06T00:00:00Z,2024-05-01T00:00:00Z,NA,NA
2006601,BCAM13_2024Sep6_SD39,BCAM13,2024-08-04T00:00:00Z,2024-09-06T00:00:00Z,NA,NA
2006601,BCAM13_2025Apr25_SD34,BCAM13,2025-03-26T00:00:00Z,2025-04-25T00:00:00Z,NA,NA
2006601,BCAM13_2025Dec7_SD49,BCAM13,2025-11-02T00:00:00Z,2025-12-07T00:00:00Z,NA,NA
2006601,BCAM13_2025Feb15_SD46,BCAM13,2025-02-02T00:00:00Z,2025-02-15T00:00:00Z,NA,NA
2006601,BCAM13_2025Feb2_SD50,BCAM13,2025-01-05T00:00:00Z,2025-02-02T00:00:00Z,NA,NA
2006601,BCAM13_2025Jan5_SD34,BCAM13,2024-12-21T00:00:00Z,2025-01-05T00:00:00Z,NA,NA
2006601,BCAM13_2025Jun29_SD37,BCAM13,2025-06-03T00:00:00Z,2025-06-29T00:00:00Z,NA,NA
2006601,BCAM13_2025Jun3_SD27,BCAM13,2025-04-25T00:00:00Z,2025-05-11T00:00:00Z,NA,NA
2006601,BCAM13_2025Mar15_SD49,BCAM13,2025-03-09T00:00:00Z,2025-03-15T00:00:00Z,NA,NA
2006601,BCAM13_2025Mar9_SD49,BCAM13,2025-02-15T00:00:00Z,2025-03-09T00:00:00Z,NA,NA
2006601,BCAM13_2025Nov2_SD49,BCAM13,2025-10-20T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM13_2025Sep14_SD69,BCAM13,2025-08-04T00:00:00Z,2025-09-14T00:00:00Z,NA,NA
2006601,BCAM13_2026Apr12_SD38,BCAM13,2026-03-08T00:00:00Z,2026-04-12T00:00:00Z,NA,NA
2006601,BCAM13_2026Feb19_SD48,BCAM13,2026-01-11T00:00:00Z,2026-01-26T00:00:00Z,NA,NA
2006601,BCAM13_2026Jan11_SD35,BCAM13,2025-12-07T00:00:00Z,2026-01-11T00:00:00Z,NA,NA
2006601,BCAM13_2026Mar8_SD38,BCAM13,2026-02-19T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM14_2024Aug4_SD54,BCAM14,2024-06-26T00:00:00Z,2024-08-04T00:00:00Z,NA,NA
2006601,BCAM14_2024Dec21_SD50,BCAM14,2024-11-07T00:00:00Z,2024-12-21T00:00:00Z,NA,NA
2006601,BCAM14_2024Jun1_SD25,BCAM14,2024-05-04T00:00:00Z,2024-06-01T00:00:00Z,NA,NA
2006601,BCAM14_2024Jun26_SD47,BCAM14,2024-06-01T00:00:00Z,2024-06-26T00:00:00Z,NA,NA
2006601,BCAM14_2024Sep6_SD36,BCAM14,2024-08-04T00:00:00Z,2024-09-06T00:00:00Z,NA,NA
2006601,BCAM15_2025Apr26_SD65,BCAM15,2025-03-15T00:00:00Z,2025-04-26T00:00:00Z,NA,NA
2006601,BCAM15_2025Aug5_SD42,BCAM15,2025-06-27T00:00:00Z,2025-08-05T00:00:00Z,NA,NA
2006601,BCAM15_2025Dec8_SD41,BCAM15,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,NA,NA
2006601,BCAM15_2025Feb1_SD56,BCAM15,2025-01-04T00:00:00Z,2025-02-01T00:00:00Z,NA,NA
2006601,BCAM15_2025Feb16_SD65,BCAM15,2025-02-01T00:00:00Z,2025-02-15T00:00:00Z,NA,NA
2006601,BCAM15_2025Jan4_SD41,BCAM15,2024-12-20T00:00:00Z,2025-01-04T00:00:00Z,NA,NA
2006601,BCAM15_2025Jun27_SD65,BCAM15,2025-06-03T00:00:00Z,2025-06-27T00:00:00Z,NA,NA
2006601,BCAM15_2025Jun3_SD67,BCAM15,2025-04-26T00:00:00Z,2025-06-03T00:00:00Z,NA,NA
2006601,BCAM15_2025Mar15_SD41,BCAM15,2025-03-09T00:00:00Z,2025-03-15T00:00:00Z,NA,NA
2006601,BCAM15_2025Mar9_SD41,BCAM15,2025-02-16T00:00:00Z,2025-03-09T00:00:00Z,NA,NA
2006601,BCAM15_2025Nov2_SD41,BCAM15,2025-10-20T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM15_2025Sep14_SD65,BCAM15,2025-08-05T00:00:00Z,2025-09-14T00:00:00Z,NA,NA
2006601,BCAM15_2026Apr12_SD37,BCAM15,2026-03-08T00:00:00Z,2026-04-12T00:00:00Z,NA,NA
2006601,BCAM15_2026Feb20_SD52,BCAM15,2026-01-10T00:00:00Z,2026-02-20T00:00:00Z,NA,NA
2006601,BCAM15_2026Jan10_SD44,BCAM15,2025-12-08T00:00:00Z,2025-12-30T00:00:00Z,NA,NA
2006601,BCAM15_2026Mar8_SD37,BCAM15,2026-02-20T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM15_2026May30_SD65,BCAM15,2026-04-12T00:00:00Z,2026-05-30T00:00:00Z,NA,NA
2006601,BCAM16_2025Jan4_SD42,BCAM16,2024-12-20T00:00:00Z,2025-01-04T00:00:00Z,NA,NA
2006601,BCAM17_2025Jan4_SD51,BCAM17,2024-12-20T00:00:00Z,2025-01-04T00:00:00Z,NA,NA
2006601,BCAM18_2025Apr26_SD64,BCAM18,2025-03-14T00:00:00Z,2025-03-19T00:00:00Z,NA,NA
2006601,BCAM18_2025Feb1_SD57,BCAM18,2025-01-04T00:00:00Z,2025-02-01T00:00:00Z,NA,NA
2006601,BCAM18_2025Feb16_SD32,BCAM18,2025-02-01T00:00:00Z,2025-02-16T00:00:00Z,NA,NA
2006601,BCAM18_2025Jan4_SD52,BCAM18,2024-12-20T00:00:00Z,2025-01-04T00:00:00Z,NA,NA
2006601,BCAM18_2025Mar14_SD52,BCAM18,2025-03-09T00:00:00Z,2025-03-14T00:00:00Z,NA,NA
2006601,BCAM18_2025Mar9_SD54,BCAM18,2025-02-16T00:00:00Z,2025-03-09T00:00:00Z,NA,NA
2006601,BCAM19_2025Apr26_SD37,BCAM19,2025-03-14T00:00:00Z,2025-04-26T00:00:00Z,2025-04-06T00:00:00Z,2025-04-26T00:00:00Z
2006601,BCAM19_2025Aug5_SD21,BCAM19,2025-06-27T00:00:00Z,2025-08-05T00:00:00Z,NA,NA
2006601,BCAM19_2025Dec8_SD68,BCAM19,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,NA,NA
2006601,BCAM19_2025Jun27_SD67,BCAM19,2025-06-04T00:00:00Z,2025-06-27T00:00:00Z,NA,NA
2006601,BCAM19_2025Jun4_SD63,BCAM19,2025-04-26T00:00:00Z,2025-06-04T00:00:00Z,2025-05-15T00:00:00Z,2025-06-04T00:00:00Z
2006601,BCAM19_2025Nov2_SD68,BCAM19,2025-10-21T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM19_2025Sep12_SD60,BCAM19,2025-08-05T00:00:00Z,2025-09-12T00:00:00Z,NA,NA
2006601,BCAM19_2026Apr13_SD42,BCAM19,2026-03-08T00:00:00Z,2026-04-13T00:00:00Z,NA,NA
2006601,BCAM19_2026Feb20_SD61,BCAM19,2026-01-10T00:00:00Z,2026-02-20T00:00:00Z,NA,NA
2006601,BCAM19_2026Jan10_SD50,BCAM19,2025-12-08T00:00:00Z,2026-01-10T00:00:00Z,NA,NA
2006601,BCAM19_2026Mar8_SD42,BCAM19,2026-02-20T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM19_2026May31_SD39,BCAM19,2026-04-13T00:00:00Z,2026-05-31T00:00:00Z,2026-05-14T00:00:00Z,2026-05-31T00:00:00Z
2006601,BCAM2_2023Jan27_SD1,BCAM2,2022-12-21T00:00:00Z,2023-01-27T00:00:00Z,NA,NA
2006601,BCAM2_2023Mar13_SD20,BCAM2,2023-01-27T00:00:00Z,2023-03-13T00:00:00Z,NA,NA
2006601,BCAM20_2025Apr26_SD53,BCAM20,2025-03-14T00:00:00Z,2025-04-26T00:00:00Z,2025-03-30T00:00:00Z,2025-04-26T00:00:00Z
2006601,BCAM20_2025Aug5_SD29,BCAM20,2025-06-27T00:00:00Z,2025-08-05T00:00:00Z,NA,NA
2006601,BCAM20_2025Dec8_SD67,BCAM20,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,2025-11-15T00:00:00Z,2025-12-08T00:00:00Z
2006601,BCAM20_2025Jun27_SD60,BCAM20,2025-06-04T00:00:00Z,2025-06-27T00:00:00Z,2025-06-19T00:00:00Z,2025-06-27T00:00:00Z
2006601,BCAM20_2025Jun4_SD42,BCAM20,2025-04-26T00:00:00Z,2025-06-04T00:00:00Z,2025-05-12T00:00:00Z,2025-06-04T00:00:00Z
2006601,BCAM20_2025Nov2_SD67,BCAM20,2025-10-21T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM20_2025Sep12_SD67,BCAM20,2025-08-05T00:00:00Z,2025-09-12T00:00:00Z,NA,NA
