placename,year_month,common_name,n_detections,sampling_days
BCAM1,2024-11,Brush Rabbit,0,30
BCAM1,2024-11,Californian Sea Lion,0,30
BCAM1,2024-11,Domestic Cattle,0,30
BCAM1,2024-11,Elk,0,30
BCAM1,2024-11,Black-tailed Jackrabbit,0,30
BCAM1,2024-12,American Badger,0,31
BCAM1,2024-12,Bobcat,1,31
BCAM1,2024-12,Coyote,3,31
BCAM1,2024-12,Domestic Dog,0,31
BCAM1,2024-12,Human,20,31
BCAM1,2024-12,Human-Camera Trapper,3,31
BCAM1,2024-12,Mule Deer,0,31
BCAM1,2024-12,North American River Otter,0,31
BCAM1,2024-12,Northern Elephant Seal,2,31
BCAM1,2024-12,Northern Raccoon,4,31
BCAM1,2024-12,Striped Skunk,1,31
BCAM1,2024-12,Brush Rabbit,0,31
BCAM1,2024-12,Californian Sea Lion,0,31
BCAM1,2024-12,Domestic Cattle,0,31
BCAM1,2024-12,Elk,0,31
BCAM1,2024-12,Black-tailed Jackrabbit,0,31
BCAM1,2025-06,American Badger,0,30
BCAM1,2025-06,Bobcat,3,30
BCAM1,2025-06,Coyote,2,30
BCAM1,2025-06,Domestic Dog,0,30
BCAM1,2025-06,Human,11,30
BCAM1,2025-06,Human-Camera Trapper,3,30
BCAM1,2025-06,Mule Deer,6,30
BCAM1,2025-06,North American River Otter,0,30
BCAM1,2025-06,Northern Elephant Seal,0,30
BCAM1,2025-06,Northern Raccoon,0,30
BCAM1,2025-06,Striped Skunk,0,30
BCAM1,2025-06,Brush Rabbit,0,30
BCAM1,2025-06,Californian Sea Lion,0,30
BCAM1,2025-06,Domestic Cattle,0,30
BCAM1,2025-06,Elk,0,30
BCAM1,2025-06,Black-tailed Jackrabbit,0,30
BCAM1,2025-08,American Badger,0,31
BCAM1,2025-08,Bobcat,1,31
BCAM1,2025-08,Coyote,2,31
BCAM1,2025-08,Domestic Dog,0,31
BCAM1,2025-08,Human,13,31
BCAM1,2025-08,Human-Camera Trapper,0,31
BCAM1,2025-08,Mule Deer,18,31
BCAM1,2025-08,North American River Otter,1,31
BCAM1,2025-08,Northern Elephant Seal,0,31
BCAM1,2025-08,Northern Raccoon,1,31
BCAM1,2025-08,Striped Skunk,2,31
BCAM1,2025-08,Brush Rabbit,0,31
BCAM1,2025-08,Californian Sea Lion,0,31
BCAM1,2025-08,Domestic Cattle,0,31
BCAM1,2025-08,Elk,0,31
BCAM1,2025-08,Black-tailed Jackrabbit,0,31
BCAM1,2025-09,American Badger,0,30
BCAM1,2025-09,Bobcat,11,30
BCAM1,2025-09,Coyote,1,30
