placename,year_week,common_name,n_detections,sampling_days
BCAM1,2024-W34,American Badger,1,7
BCAM1,2024-W34,Bobcat,0,7
BCAM1,2024-W34,Coyote,0,7
BCAM1,2024-W34,Domestic Cattle,0,7
BCAM1,2024-W34,Domestic Dog,0,7
BCAM1,2024-W34,Human,2,7
BCAM1,2024-W34,Human-Camera Trapper,0,7
BCAM1,2024-W34,Mule Deer,2,7
BCAM1,2024-W34,North American River Otter,0,7
BCAM1,2024-W34,Northern Elephant Seal,0,7
BCAM1,2024-W34,Northern Raccoon,0,7
BCAM1,2024-W34,Striped Skunk,0,7
BCAM1,2024-W34,Brush Rabbit,0,7
BCAM1,2024-W34,Californian Sea Lion,0,7
BCAM1,2024-W34,Elk,0,7
BCAM1,2024-W34,Black-tailed Jackrabbit,0,7
BCAM1,2024-W34,Human-Pedestrian,0,7
BCAM1,2023-W39,American Badger,0,7
BCAM1,2023-W39,Bobcat,1,7
BCAM1,2023-W39,Coyote,0,7
BCAM1,2023-W39,Domestic Cattle,0,7
BCAM1,2023-W39,Domestic Dog,0,7
BCAM1,2023-W39,Human,6,7
BCAM1,2023-W39,Human-Camera Trapper,2,7
BCAM1,2023-W39,Mule Deer,5,7
BCAM1,2023-W39,North American River Otter,0,7
BCAM1,2023-W39,Northern Elephant Seal,0,7
BCAM1,2023-W39,Northern Raccoon,0,7
BCAM1,2023-W39,Striped Skunk,0,7
BCAM1,2023-W39,Brush Rabbit,0,7
BCAM1,2023-W39,Californian Sea Lion,0,7
BCAM1,2023-W39,Elk,0,7
BCAM1,2023-W39,Black-tailed Jackrabbit,0,7
BCAM1,2023-W39,Human-Pedestrian,0,7
BCAM1,2023-W40,American Badger,0,7
BCAM1,2023-W40,Bobcat,1,7
BCAM1,2023-W40,Coyote,2,7
BCAM1,2023-W40,Domestic Cattle,0,7
BCAM1,2023-W40,Domestic Dog,0,7
BCAM1,2023-W40,Human,2,7
BCAM1,2023-W40,Human-Camera Trapper,0,7
BCAM1,2023-W40,Mule Deer,0,7
BCAM1,2023-W40,North American River Otter,0,7
BCAM1,2023-W40,Northern Elephant Seal,0,7
BCAM1,2023-W40,Northern Raccoon,0,7
BCAM1,2023-W40,Striped Skunk,0,7
BCAM1,2023-W40,Brush Rabbit,0,7
BCAM1,2023-W40,Californian Sea Lion,0,7
BCAM1,2023-W40,Elk,0,7
BCAM1,2023-W40,Black-tailed Jackrabbit,0,7
